"code";"abbreviation";"description";"explanation"
"245";"FC_CAL_HOME2_LEFT_CMD";"Scanhead-Control: homepos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the left motor after the calibration failed. Most likely a mechanical problem."
"246";"FC_CAL_HOME2_RIGHT_CMD";"Scanhead-Control: homepos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the right motor after the calibration failed. Most likely a mechanical problem."
"247";"FC_CAL_HOME2_LEFT_CMD_TIO";"Scanhead-Control: homepos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while trying to bring the scanhead into a save state after the calibration failed. Most likely a mechanical problem."
"248";"FC_CAL_HOME2_RIGHT_CMD_TIO";"Scanhead-Control: homepos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while trying to bring the scanhead into a save state after the calibration failed. Most likely a mechanical problem."
"249";"FC_CAL_HOME1_LEFT_TIO";"Scanhead-Control: homepos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to home position for start calibration. Most likely a mechanical problem."
"250";"FC_CAL_HOME1_RIGHT_TIO";"Scanhead-Control: homepos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to home position for start calibration. Most likely a mechanical problem."
"251";"FC_CAL_REFPOSAPPR_LEFT_TIO";"Scanhead-Control: Steppos approach refpos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to approach or dummy reference position for start calibration (Step positioning). Most likely a mechanical problem."
"252";"FC_CAL_REFPOSAPPR_RIGHT_TIO";"Scanhead-Control: Steppos approach refpos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to approach or dummy reference position for start calibration (Step positioning). Most likely a mechanical problem."
"253";"FC_SFL_FOCUS_LEFT_TIO";"Scanhead-Control: Steppos left to focus level failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to focus level position (Step positioning). "
"254";"FC_SFL_FOCUS_RIGHT_TIO";"Scanhead-Control: Steppos right to focus level failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to focus level position (Step positioning). "
"255";"FC_SFL_APPROACH_LEFT_TIO";"Scanhead-Control: Steppos left to approach level failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to approach position (Step positioning). "
"256";"FC_SFL_APPROACH_RIGHT_TIO";"Scanhead-Control: Steppos right to approach level failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to approach position (Step positioning). "
"257";"FC_SFL_MAXHEIGHT_LEFT_TIO";"Scanhead-Control: Steppos SM-Left Distance to maximum height position failed.";"Meaning:  Scanhead-Control Module: Timeout of Stepper motor SM-Left Distance(M511) while moving to maximum height position (Step positioning) of scanhead adjust distance unit.<newline/>Cure: Digitizer reset"
"258";"FC_SFL_MAXHEIGHT_RIGHT_TIO";"Scanhead-Control: Steppos SM-Right Distance to maximum height position failed.";"Meaning:  Scanhead-Control Module: Timeout of Stepper motor SM-Right Distance(M510) while moving to maximum height position (Step positioning) of scanhead adjust distance unit.<newline/>Cure: Digitizer reset"
"259";"FC_STOP_LEFT_CMD";"Scanhead-Control: Emergency Stop left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Cannot issue command Emergency Stop."
"260";"FC_STOP_RIGHT_CMD";"Scanhead-Control: Emergency Stop right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module:  Cannot issue command Emergency Stop."
"261";"FC_STOP_LEFT_TIO";"Scanhead-Control: Emergency Stop left  failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while Emergency Stop. "
"262";"FC_STOP_RIGHT_TIO";"Scanhead-Control: Emergency Stop right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while Emergency Stop. "
"263";"FC_CMT_SAFEPOS_LEFT_TIO";"Scanhead-Control: Steppos left to Save position failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to Save position (Step positioning). "
"264";"FC_CMT_SAFEPOS_RIGHT_TIO";"Scanhead-Control: Steppos right to Save position failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to Save position (Step positioning). "
"265";"FC_INIT_HOME_LEFT_CMD";"Scanhead-Control: homepos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the left motor during initialisation. Most likely a mechanical problem."
"266";"FC_INIT_HOME_RIGHT_CMD";"Scanhead-Control: homepos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Cannot issue command HomePos for the right motor during initialisation. Most likely a mechanical problem."
"267";"FC_INIT_HOME_LEFT_TIO";"Scanhead-Control: homepos left failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (left motor) while moving to home position for initialisation. Most likely a mechanical problem."
"268";"FC_INIT_HOME_RIGHT_TIO";"Scanhead-Control: homepos right failed *DO NOT TRY TO RUN ANY DRIVES*";"Meaning:  Scanhead-Control Module: Timeout (right motor) while moving to home position for initialisation. Most likely a mechanical problem."
"269";"FC_SFL_FOCUSLEVEL";"Scanhead-Control: Value for Focus Level too high. Crash possible !";"Meaning:  Scanhead-Control Module: Step value for Focus Level is higher than measured Reference Level. Crash of scanhead with IP possible !"
"270";"FC_CREATE_ELABEL_STRUCT";"Scanhead-Control: Error creating E-Label structure.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label structure of Scanhead-Control specific data.<newline/>Structure is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"271";"FC_CREATE_ELABEL_LXOFFSET";"Scanhead-Control: Error creating E-Label Entry Left Motor X-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'left motor X-Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"272";"FC_CREATE_ELABEL_LYOFFSET";"Scanhead-Control: Error creating E-Label Entry Left Motor Y-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'left motor Y-Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"273";"FC_CREATE_ELABEL_RXOFFSET";"Scanhead-Control: Error creating E-Label Entry Right Motor X-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'right motor X-Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"274";"FC_CREATE_ELABEL_RYOFFSET";"Scanhead-Control: Error creating E-Label Entry Right Motor Y-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'right motor Y-Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"275";"FC_SAVE_ELABEL_LXOFFSET";"Scanhead-Control: Error saving E-Label Entry Left Motor X-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'left motor X-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"276";"FC_SAVE_ELABEL_LYOFFSET";"Scanhead-Control: Error saving E-Label Entry Left Motor Y-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'left motor Y-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"277";"FC_SAVE_ELABEL_RXOFFSET";"Scanhead-Control: Error saving E-Label Entry Right Motor X-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'right motor X-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"278";"FC_SAVE_ELABEL_RYOFFSET";"Scanhead-Control: Error saving E-Label Entry Right Motor Y-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'right motor Y-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"279";"FC_SAVE_ELABEL_LDOFFSET";"Scanhead-Control: Error saving E-Label Entry Left Motor Distance-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'left motor Distance-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"280";"FC_SAVE_ELABEL_RDOFFSET";"Scanhead-Control: Error saving E-Label Entry Right Motor Distance-Offset.";"Meaning:  Scanhead-Control Module: Error occurred while saving parameter 'right motor Distance-Offset' to E-Label.<newline/>Value is not stored because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"281";"FC_SFL_LEFTLIFTLOSTSTEPS";"Scanhead-Control: Left lift lost steps";"Meaning:  Scanhead-Control Module: Left lift lost steps,so secur operation no more possible."
"282";"FC_SFL_RIGHTLIFTLOSTSTEPS";"Scanhead-Control: Right lift lost steps";"Meaning:  Scanhead-Control Module: Right lift  lost steps,so secur operation no more possible."
"283";"FC_PROXY_SENDCMD_DELIVER";"Scanhead-Control: cannot deliver command from proxy to FC-task";"Meaning:  Scanhead-Control Module: Cannot send any command from FC-proxy to FC-task through PostOffice."
"284";"FC_CREATE_SH_ELABEL_STRUCT";"Scanhead-Control: Error creating SH E-Label structure.";"Meaning:  Scanhead-Control Module: Error occurred while creating SH E-Label structure of ScanHead specific data.<newline/>Structure is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"285";"FC_CREATE_ELABEL_SHLENSTYPE";"Scanhead-Control: Error creating E-Label Entry ConfigFlag Scanhead Lenstype.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'ConfigFlag Scanhead Lenstype'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"286";"FC_CREATE_ELABEL_SHLDOFF";"Scanhead-Control: Error creating E-Label Entry Scanhead Left Distance Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'Scanhead Left Distance Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"287";"FC_CREATE_ELABEL_SHRDOFF";"Scanhead-Control: Error creating E-Label Entry Scanhead Right Distance Offset.";"Meaning:  Scanhead-Control Module: Error occurred while creating E-Label entry of parameter 'Scanhead Right Distance Offset'.<newline/>Parameter is not initialized because of any Hardware or Software problem <newline/>Cure:  1) Check/Replace ScanheadController Board. 2) SW-Bugfixing"
"288";"FC_CAL_CHECK_PRESSURE";"Scanhead-Control: AirSupply  error on checkPressure4Scan command.";"Meaning:  Scanhead-Control Module: AirSupply  reported an error on checkPressure4Scan command.<newline/>Cure:  1) Check/AirSupply unit."
"289";"FC_CAL_ACTIVATE_PRESSURE";"Scanhead-Control: AirSupply  error on activatePressure4Scan command.";"Meaning:  Scanhead-Control Module: AirSupply  reported an error on activatePressure4Scan command.<newline/>Cure:  1) Check/AirSupply unit."
"290";"FC_CAL_DEACTIVATE_PRESSURE";"Scanhead-Control: AirSupply  error on deactivatePressure4Scan command.";"Meaning:  Scanhead-Control Module: AirSupply  reported an error on deactivatePressure4Scan command.<newline/>Cure:  1) Check/AirSupply unit."
"291";"FC_SFL_LEFTLIFTLOSTSTEPS_CAL";"Scanhead-Control: Left lift lost steps during calibration.";"Meaning:  Scanhead-Control Module: Left lift lost steps during calibration,so secur operation no more possible."
"292";"FC_SFL_RIGHTLIFTLOSTSTEPS_CAL";"Scanhead-Control: Right lift lost steps during calibration.";"Meaning:  Scanhead-Control Module: Right lift  lost steps during calibration,so secur operation no more possible."
"293";"FC_LEFTPRECISIONSWITCH_DEF";"Scanhead-Control: Left Precision switch defective.";"Meaning:  Scanhead-Control Module: The Left Precision Switch(S506) of the Scanhead Height Adjust unit is permanently interrupted.<newline/>Reason:  The Left Precision Switch(S506) of the Scanhead Height Adjust unit is  defective.<newline/>Cure: Replace IP platform assembly."
"294";"FC_RIGHTPRECISIONSWITCH_DEF";"Scanhead-Control: Right Precision switch defective.";"Meaning:  Scanhead-Control Module: The Right Precision Switch(S505) of the Scanhead Height Adjust unit is permanently interrupted.<newline/>Reason:  The Right Precision Switch(S505) of the Scanhead Height Adjust unit is  defective.<newline/>Cure: Replace IP platform assembly."
"300";"FEU_PROXY_ADD_CALLBACK_FAILED";"Communication Failure using FEU Proxy";"Reason: Wrong Parameter, out of range,  using FEU Proxy<newline/>Meaning: Communication fails.<newline/>Cure: Load new Software and restart."
