"ErrorCode";"Identifier";"Meaning";"Reason";"Cure"
"'2032F";"E_SCD_FIFO_ISC_LRETR";"Negative number of pixels to discard at end of line. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20330";"E_SCD_FIFO_ISC_ODDRETR";"Attempt to initialize scan with an odd number of pixels to discard at end of line. Next lower even number taken. ";"Wrong setting in FIP table.";"Check FIP table."
"'20331";"E_SCD_FIFO_ISC_HRETR";"Too many pixels to discard at end of line. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20332";"E_SCD_FIFO_CDL_TOOLOW";"Calculated ad_delay too low. ";"Wrong parameters for function call.";"Check cassette data and system settings."
"'20333";"E_SCD_FIFO_NOT_INIT";"The driver software for pixel FIFO control has not been initialized. ";"Software error.";"Software must call scd_fifo_init() first."
"'20334";"E_SCD_FIFO_WR_RD";"A FIFO test without half full interrupt failed. One or more read values were different than the written ones. For more details analyze logfile with REM tool. ";"Pixel FIFO on scan control board (SCB) defective.";"Replace SCB."
"'20335";"E_SCD_FIFO_NO_INT";"A FIFO test using half full interrupt failed. No interrupt or too many interrupts came. ";"Scan control board (SCB) defective.";"Replace SCB."
"'20336";"E_SCD_FIFO_DATA";"A FIFO test using half full interrupt failed. The read back values were different than the written ones. ";"Scan control board (SCB) defective.";"Replace SCB."
"'20337";"E_SCD_FIFO_SNP_TIMEOUT";"Timeout while scanning some pixels for measurement purposes. Probably rotating shutter not turning (no optoswitch signal). check cabelling. ";"Probably no FIFO half full interrupt (no pixels generated).";"Check Rotating shutter and driver, check scan control board,"
"'20338";"E_SCD_FIFO_PRESENT_SSB";"No pixel FIFO (slave) hardware found. - SSB defective. ";"- Scan slave board (SSB) not or badly inserted.";"Check / insert / replace SSB."
"'20339";"E_SCD_FIFO_FACET";"Polygon facet number of first scan line could not be obtained. - Others ... ";"- No polygon interrupt";""
"'2033A";"E_SCD_FIFO_SNP_COUNT";"The requested number of pixels was not scanned. ";"";""
"'2033B";"E_SCD_FIFO_SET_DMA_HOOK";"Setting the DMA interrupt hook function failed. ";"Operating system problem.";"Check if software is installed correctly."
"'2033C";"E_SCD_FIFO_SNP_NO_BLOCK_SMB";"No image block available from scan master board. ";"";""
"'2033D";"E_SCD_FIFO_SNP_COUNT2";"The requested number of pixels was not scanned. ";"";""
"'20350";"E_SCD_SWP_VER_SWH";"Wrong version of SWH board (ADC70 hardware). ";"";""
"'20351";"E_SCD_SWP_VER_SCB";"Sweep control software detected a wrong version of scan control board (SCB). ";"Negative version code from scd_scb_version(). Software error.";"Check if software is installed correctly."
"'20352";"E_SCD_SWP_PRESENT";"No sweep control hardware found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'20353";"E_SCD_SWP_INI_HW";"Initializing the scan control board (SCB) by the sweep control software failed. ";"";"Check / replace SCB."
"'20354";"E_SCD_SWP_GET_IVEC";"Getting the PIN diode interrupt vector failed. ";"Problems with operating system.";"Check if software is installed correctly. Check CPU."
"'20355";"E_SCD_SWP_CLT_DUCY";"Wrong value of sweep duty cycle for line_time calculation. ";"Software error.";""
"'20356";"E_SCD_SWP_CLT_ACCL";"Too low value of galvo_accel for line_time calculation. ";"Software error.";""
"'20357";"E_SCD_SWP_CLT_TPIX";"Too short pixel_time for line_time calculation. ";"Software error.";""
"'20358";"E_SCD_SWP_CLT_PIX";"Wrong number of pixels per line for line_time calculation. ";"Software error.";""
"'20359";"E_SCD_SWP_CPT_DUCY";"Wrong value of sweep duty cycle for pixel_time calculation. ";"Software error.";""
"'2035A";"E_SCD_SWP_CPT_ACCL";"Too low value of galvo_accel for pixel_time calculation. ";"Software error.";""
"'2035B";"E_SCD_SWP_CPT_TLIN";"Too short line_time for pixel_time calculation. ";"Software error.";""
"'2035C";"E_SCD_SWP_CPT_PIX";"Wrong number of pixels per line for pixel_time calculation. ";"Software error.";""
"'2035D";"E_SCD_SWP_CAC_SPSPD";"Laser spot_speed value too low for amplitude_count calculation. Using spot_speed = 1. ";"Software error.";""
"'2035E";"E_SCD_SWP_FCREATE";"Creating event flag group for sweep interrupt failed. ";"Problem with operating system.";"Check software configuration."
"'2035F";"E_SCD_SWP_COC_SPSPD";"Laser spot_speed value too low for offset_count calculation. Using spot_speed = 1. ";"Software error.";""
"'20360";"E_SCD_SWP_ADJ_FCLEAR";"Clearing the sweep adjustment_ok event flag with sc_fclear() failed. ";"";""
"'20361";"E_SCD_SWP_ADJ_FPEND";"Timeout while waiting for end of galvanometer fine adjustment. -> No rotating shutter interrupts -> No sweep (PIN diode) interrupts - others (?) ";"- Rotating shutter was not turning";"Rely on automatic error recovery."
"'20365";"E_SCD_SWP_AMP_RANGEL";"Sweep amplitude D/A converter value at sweep fine adjustment is too low. Limiting to minimum. ";"";""
"'20366";"E_SCD_SWP_AMP_RANGEH";"Sweep amplitude D/A converter value at sweep fine adjustment is too high. Limiting to maximum. 2. Galvanometer or galvo driver out of spec. 2. Replace the galvanometer and the galvo driver board ";"1. Scanner parameters not adjusted correctly";"1. Adjust the scanner parameters (offset counts, mid_ip_dist)"
"'20367";"E_SCD_SWP_AMP_INSTAB";"Instable sweep amplitude at sweep fine adjustment. The amplitude count values differ too much from the average value. ";"Problem with galvanometer.";"Check / replace galvanometer and galvo vontrol board."
"'20368";"E_SCD_SWP_AMP_0_PIN";"No PIN diodes detected at sweep amplitude adjustment. - Laser does not hit the PIN diodes. - Level of PIN diode signal too low. - Image plate hides PIN diodes. - Galvanometer gets no power or sweep signal. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- PIN diode board not connected to scan control board (SCB).";"Check PIN diode signal."
"'20369";"E_SCD_SWP_AMP_1_PIN";"Only one PIN diode detected at sweep amplitude adjustment. - Level of PIN diode signal too low. - Any object hides PIN diodes. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- Laser does not hit all PIN diodes.";"Check PIN diode signal."
"'2036A";"E_SCD_SWP_AMP_2_PIN";"Only two PIN diodes detected at sweep amplitude adjustment. - Level of PIN diode signal too low. - Any object hides a PIN diode. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- Laser does not hit all PIN diodes.";"Check PIN diode signal."
"'2036B";"E_SCD_SWP_AMP_3_PIN";"Correct number of three PIN diodes detected, but amplitude counts deviate too much from previous measurement. - Too big changes during adjustment. ";"- Galvanometer instability.";""
"'2036C";"E_SCD_SWP_AMP_4_PIN";"More than tree PIN diodes detected at sweep amplitude adjustment. - Others. ";"- Retrace only partially hidden by rotating shutter.";"Check PIN diode signal and position of rotating shutter optoswitch."
"'2036D";"E_SCD_SWP_OFF_RANGEL";"Sweep offset D/A converter value at sweep fine adjustment is too low. Limiting to minimum. 2. Galvanometer or galvo driver out of spec. 2. Replace the galvanometer and the galvo driver board ";"1. Scanner parameters not adjusted correctly";"1. Adjust the scanner parameters (offset counts, mid_ip_dist)"
"'2036E";"E_SCD_SWP_OFF_RANGEH";"Sweep offset D/A converter value at sweep fine adjustment is too high. Limiting to maximum. 2. Galvanometer or galvo driver out of spec. 2. Replace the galvanometer and the galvo driver board ";"1. Scanner parameters not adjusted correctly";"1. Adjust the scanner parameters (offset counts, mid_ip_dist)"
"'2036F";"E_SCD_SWP_OFF_INSTAB";"Instable sweep offset at sweep fine adjustment. The offset count values differ too much from the average value. ";"Problem with galvanometer.";"Check / replace galvanometer and galvo vontrol board."
"'20370";"E_SCD_SWP_OFF_0_PIN";"No PIN diodes detected at sweep offset adjustment. - Laser does not hit the PIN diodes. - Level of PIN diode signal too low. - Image plate hides PIN diodes. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- PIN diode board not connected to scan control board (SCB).";"Check PIN diode signal."
"'20371";"E_SCD_SWP_OFF_1_PIN";"Only one PIN diode detected at sweep offset adjustment. - Level of PIN diode signal too low. - Any object hides PIN diodes. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- Laser does not hit all PIN diodes.";"Check PIN diode signal."
"'20372";"E_SCD_SWP_OFF_2_PIN";"Only two PIN diodes detected at sweep offset adjustment. - Level of PIN diode signal too low. - Any object hides a PIN diode. Check cabelling. If necessary, mechanically adjust the PIN diode board. ";"- Laser does not hit all PIN diodes.";"Check PIN diode signal."
"'20373";"E_SCD_SWP_OFF_3_PIN";"Correct number of three PIN diodes detected, but offset counts deviate too much from previous measurement. - Too big changes during adjustment. ";"- Galvanometer instability.";""
"'20374";"E_SCD_SWP_OFF_4_PIN";"More than tree PIN diodes detected at sweep offset adjustment. - Others. ";"- Retrace only partially hidden by rotating shutter.";"Check PIN diode signal and position of rotating shutter optoswitch."
"'20375";"E_SCD_SWP_NOT_INIT";"The driver software for sweep control has not been initialized. ";"Software error.";"Software must call scd_swp_init() first."
"'20376";"E_SCD_SWP_SDV_TMO";"The polygon did not reach its necessary speed within a certain time. ";"Problem with polygon or scan control board (SCB).";"Check polygon and SCB."
"'20377";"E_SCD_SWP_TST_0_RANGE";"While testing the scan control board (SCB), the read-back voltage of the sweep signal deviated more than 10% from the expected value. ";"SCB defective.";"Replace SCB."
"'20378";"E_SCD_SWP_TST_A_RANGE";"While testing the scan control board (SCB), the read-back voltage of the sweep signal deviated more than 10% from the expected value. ";"SCB defective.";"Replace SCB."
"'20379";"E_SCD_SWP_TST_R_RANGE";"While testing the scan control board (SCB), the read-back voltage of the sweep signal deviated more than 10% from the expected value. ";"SCB defective.";"Replace SCB."
"'2037A";"E_SCD_SWP_TST_O_RANGE";"While testing the scan control board (SCB), the read-back voltage of the sweep signal deviated more than 10% from the expected value. ";"SCB defective.";"Replace SCB."
"'20380";"E_SCD_SWP_CSD_TLIN_LOW";"Too short line_time, detected at calculation of sweep divider. Correct parameters or delete D:\FIPXXX00.U00. ";"Software error or invalid parameters in FIP tables.";"Check if parameters in FIP tables have been changed."
"'20381";"E_SCD_SWP_CSD_TLIN_HIGH";"Too long line_time, detected at calculation of sweep divider. Correct parameters or delete D:\FIPXXX00.U00. ";"Software error or invalid parameters in FIP tables.";"Check if parameters in FIP tables have been changed."
"'20382";"E_SCD_SWP_CSD_DIV_LOW";"Calculated too low sweep divider. Minimum used. Correct parameters or delete D:\FIPXXX00.U00. ";"Software error or invalid parameters in FIP tables.";"Check if parameters in FIP tables have been changed."
"'20383";"E_SCD_SWP_CSD_DIV_HIGH";"Calculated too high sweep divider. Minimum used. Correct parameters or delete D:\FIPXXX00.U00. ";"Software error or invalid parameters in FIP tables.";"Check if parameters in FIP tables have been changed."
"'20384";"E_SCD_SWP_OBSERVE_TIMEOUT";"The polygon speed did not stay not good for the requested time. ";"Problem with polygon or scan control board (SCB).";"Check polygon and SCB."
"'20390";"E_SCD_RS_VER_DAQ";"Wrong version of DAQ board (ADC70 hardware). ";"";""
"'20391";"E_SCD_RS_VER_SCB";"Wrong version of scan control board (SCB) detected. ";"Negative version code from scd_scb_version(). Software error.";"Check if software is installed correctly."
"'20392";"E_SCD_RS_PRESENT";"Scan control board (SCB) not found. - SCB defective. ";"- SCB not or badly inserted.";"Check / insert / replace SCB."
"'20393";"E_SCD_RS_INI_HW";"Initializing the scan control board (SCB) failed. ";"";"Check / replace SCB."
"'20394";"E_SCD_RS_GET_IVEC";"Getting interrupt vector from operating system failed. (Used for RS position or RS optoswitch / begin of line.) ";"Problems with operating system.";"Check if software is installed correctly. Check CPU."
"'20395";"E_SCD_RS_PRESENT_RMS";"No rotating shutter driver board (RMS) found. - RMS board defective - Check / replace RMS board. ";"- Bad connection or cabelling between scan control board (SCB) and RMS.";"- Check cables and connectors."
"'20396";"E_SCD_RS_VERS_RMS";"Hardware version of RMS board not correct - Connection problem ";"- Wrong hardware";"Check RMS board, cables to RMS and power supply of RMS"
"'20397";"E_SCD_RS_FCREATE";"Creating event flag group with sc_fcreate() failed. (Used e.g. for ramping rotating shutter.) ";"Problem with operating system.";"Check if software is installed correctly."
"'20398";"E_SCD_RS_RMSCOM";"Communication with rotating shutter driver board failed ";"Most probably hardware problem.";"Check RMS board, cables to RMS and power supply of RMS"
"'20399";"E_SCD_RS_NOT_INIT";"The driver software for rotating shutter control has not been initialized. ";"Software error.";"Software must call scd_rs_init() first."
"'203A0";"E_SCD_RS_RAMP_ENA1";"Enabling the rotating shutter motor supply failed. - Communication problem with RMS. ";"- Wrong version of rotating shutter driver board (RMS).";"Check SCB and RMS. Replace if necessary."
"'203A1";"E_SCD_RS_RAMP_ENA2";"Enabling the rotating shutter motor supply failed. - Communication problem with RMS. ";"- Wrong version of rotating shutter driver board (RMS).";"Check SCB and RMS. Replace if necessary."
"'203A2";"E_SCD_RS_RAMP_FCL0";"Clearing the rotating shutter position_ok event flag with sc_fclear() failed. ";"";""
"'203A3";"E_SCD_RS_RAMP_FPD1";"sc_fpend() returned with error after pending for rotating shutter position_ok event. ";"Timeout or others.";""
"'203A4";"E_SCD_RS_RAMP_FCL1";"Clearing the rotating shutter position_ok event flag with sc_fclear() failed. ";"";""
"'203A5";"E_SCD_RS_RAMP_FPD2";"sc_fpend() returned with error after pending for rotating shutter position_ok event. ";"Timeout or others.";""
"'203A6";"E_SCD_RS_RAMP_FCL2";"Clearing the rotating shutter position_ok event flag with sc_fclear() failed. ";"";""
"'203A7";"E_SCD_RS_RAMP_FPD3";"sc_fpend() returned with error after pending for rotating shutter position_ok event. ";"Timeout or others.";""
"'203A8";"E_SCD_RS_RAMP_FCL3";"Clearing the rotating shutter position_ok event flag with sc_fclear() failed. ";"";""
"'203A9";"E_SCD_RS_RAMP_FAILED";"Ramping up the rotating shutter failed at least once. Retry was successfull. If error occurs regularily, try if replacement of rotating shutter or replacement of RMS board solves the problem. ";"";"Only warning. Ramping was finally successfull."
"'203AA";"E_SCD_RS_RAMP_FAILED_ALL";"Ramping up the rotating shutter failed completely. Retries were not successfull. - cabeling problem to rotating shutter - rotating shutter driver board defective - rotating shutter motor defective motor. Replace or repair defective part. ";"- no power for rotating shutter";"Check rotating shutter power supply, cabeling, driver board,"
"'203AB";"E_SCD_RS_RAMP";"Motor is not ramping at end of run command. - Check rotating shutter optoswitch. - Check if replacement of scan control board (SCB) solves the error. ";"";"- Check RMS board and cabeling."
"'203AC";"E_SCD_RS_WRAMP_TMO";"Waiting for end of rotating shutter ramp timed out. - Too short timeout time (programming error). check if replacement of scan control board solves the error. ";"- Problem with motor controller ""MIG"" on scan control board (SCB).";"Check if error occurs regularily. If so,"
"'203AD";"E_SCD_RS_WRAMP_FAILED";"After end of rotating shutter ramp, there were no optoswitch signals detected. Retry was successfull. - Rotating shutter optoswitch does not work correctly. If error occurs regularily, try if replacement of rotating shutter or replacement of RMS board solves the problem. ";"- Motor lost steps and is not turning.";"Only warning. Ramping was finally successfull."
"'203AE";"E_SCD_RS_WRAMP_FAILED_ALL";"After end of rotating shutter ramp, there were no optoswitch signals detected. Retries were not successfull. - Rotating shutter optoswitch does not work correctly. (LED at scan control board (SCB)) - Try if replacement of rotating shutter or replacement of RMS board solves the problem. ";"- Motor lost steps and is not turning.";"- Check if rotating shutter optoswitch is working"
"'203AF";"E_SCD_RS_WRAMP_STOP";"Stopping the rotating shutter in a ramp retry cycle failed. ";"See previous errors in log file.";""
"'203B0";"E_SCD_RS_WRAMP_WSTOP";"Waiting for end of rotating shutter stop ramp timed out. Error can only occur in ramp retry cycles. - Too short timeout time (programming error). Check if replacement of scan control board solves the error. ";"- Problem with motor controller ""MIG"" on scan control board (SCB).";"First check for other rotating shutter errors and solve them."
"'203B1";"E_SCD_RS_WRAMP_RUN";"Restarting the rotating shutter motor in retry cycle failed. ";"See previous error in log file.";"See previous error in log file."
"'203B2";"E_SCD_RS_TRUN_SPEED";"Rotating shutter is not turning with the correct speed. ";"Ramping problems or test while motor stopped.";"Rely on automatic retries."
"'203C0";"E_SCD_HT_VER_SWH";"Wrong version of SWH board (ADC70 hardware). ";"";""
"'203C1";"E_SCD_HT_VER_SCB";"Photomultiplier high tension control software detected a wrong version of scan control board (SCB). ";"Negative version code from scd_scb_version(). Software error.";"Check if software is installed correctly."
"'203C2";"E_SCD_HT_PRESENT";"No high tension control hardware found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'203C3";"E_SCD_HT_INI_HW";"Initializing the scan control board (SCB) by the photomultiplier high tension control software failed. ";"";"Check / replace SCB."
"'203C4";"E_SCD_HT_CMF_TOO_FEW";"Less than two pairs of HT and SAL for calculation of MFA / MFB. ";"Software error or wrong behaviour of system.";"Check correct settings. Calibrate MFA / MFB again."
"'203C5";"E_SCD_HT_CMF_TOO_MANY";"Too many pairs of HT and SAL for calculation of MFA / MFB. ";"Software error or wrong behaviour of system.";"Check correct settings. Calibrate MFA / MFB again."
"'203C6";"E_SCD_HT_CMF_MFA_LOW";"Calculated value for MFA too low. Limiting to minimum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203C7";"E_SCD_HT_CMF_MFA_HIGH";"Calculated value for MFA too high. Limiting to maximum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203C8";"E_SCD_HT_CMF_MFB_LOW";"Calculated value for MFB too low. Limiting to minimum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203C9";"E_SCD_HT_CMF_MFB_HIGH";"Calculated value for MFB too high. Limiting to maximum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203CA";"E_SCD_HT_OVER";"Asked photomultiplier high tension too high. Limiting to maximum. - Wrong manually selected high tension. if the values are correct. - If voltage manually set: Ignore error. Scanner uses max. ";"- Wrong parameters to scd_ht_calc_volt().";"- Check cassette parameters, MFA, MFB and laser power,"
"'203CB";"E_SCD_HT_ADC";"Reading back the photomultiplier high tension failed. ";"Problem with the A/D converter on the scan control board (SCB).";"Check / replace SCB."
"'203CC";"E_SCD_HT_READ_OVER";"The measured high tension for the photomultiplier is more than 10% above the expected value. - Photomultiplier high tension supply defective. - SCB board defective. - Check / replace photomultiplier high tension supply. - Check / replace SCB board. ";"- Cable from high tension supply to photomultiplier disconnected.";"- Check cable from high tension supply to photomultiplier."
"'203CE";"E_SCD_HT_READ_UNDER";"The measured high tension for the photomultiplier is more than 10% below the expected value. not connected properly. - 24V supply or 24V cable to high tension supply defective or not connected properly. - High tension supply defective - SCB board defective. - Check / replace High tension supply (for photomultiplier). - Check / replace SCB board. - Check / replace 24V supply. ";"- Cable from SCB board to high tension supply defective or";"- Check cabelling and repair."
"'203D0";"E_SCD_HT_CHT_SC";"Speed class is below or equal zero, which is not allowed. Corrected to 200. ";"Wrong parameters.";"Check software configuration."
"'203D1";"E_SCD_HT_CHT_IP_FACTOR";"IP factor is below or equal zero, which is not allowed. Corrected to 1000. ";"Wrong parameters.";"Check software configuration."
"'203D2";"E_SCD_HT_CHT_LAS_POW";"Laser power is below or equal zero, which is not allowed. Corrected to 17000 [uW]. ";"Problem in laser power measurement.";"Check software configuration."
"'203D3";"E_SCD_HT_CHT_PIXEL_SIZE";"Pixel size is below or equal zero, which is not allowed. Corrected to 1137 [um]. ";"Wrong parameters.";"Check software configuration."
"'203D4";"E_SCD_HT_CHT_PIXEL_TIME";"Pixel time is below or equal zero, which is not allowed. Corrected to 4000 [ns]. ";"Wrong parameters.";"Check software configuration."
"'203D5";"E_SCD_HT_CHT_OVER";"Calculated photomultiplier high tension too high. Limiting to maximum. if the values are correct. ";"Wrong parameters.";"Check cassette parameters, MFA, MFB and laser power,"
"'203D6";"E_SCD_HT_NOT_INIT";"The driver software for photomultiplier high tension control has not been initialized. ";"Software error.";"Software must call scd_ht_init() first."
"'203D7";"E_SCD_HT_OUT_RANGE";"While testing the scan control board (SCB), the read-back voltage of the high tension D/A converter deviated more than 10% from the expected value. ";"SCB / SMB / SSB defective.";"Replace SCB / SMB / SSB."
"'203D8";"E_SCD_HT_CMF_HV0_LOW";"Calculated value for HV0 too low. Limiting to minimum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203D9";"E_SCD_HT_CMF_HV0_HIGH";"Calculated value for HV0 too high. Limiting to maximum. ";"MFA / MFB calibration failed.";"Check correct settings. Calibrate MFA / MFB again."
"'203DA";"E_SCD_HT_CMF_BAD_DATA";"Data does not allow to fit MFA, MFB and HV0. ";"Software error or wrong behaviour of system.";"Check correct settings. Calibrate MFA / MFB again."
"'203DB";"E_SCD_HT_CMF_POSSIBLE_BAD_FIT";"Warning: possibly bad fit in MFA / MFB calibration. ";"Software error or wrong behaviour of system.";"Check correct settings. Calibrate MFA / MFB again."
"'203DC";"E_SCD_HT_CHT_OVER_2";"Calculated photomultiplier high tension too high. Limiting to maximum. if the values are correct. ";"Wrong parameters.";"Check cassette parameters, MFA, MFB and laser power,"
"'203DD";"E_SCD_HT_CHT_UNDER_2";"Calculated photomultiplier high tension too low. Limiting to minimum. if the values are correct. ";"Wrong parameters.";"Check cassette parameters, MFA, MFB and laser power,"
"'203E0";"E_SCD_LAS_VER_SWH";"Wrong version of SWH board (ADC70 hardware). ";"";""
"'203E1";"E_SCD_LAS_VER_SCB";"Laser power control software detected a wrong version of scan control board (SCB). ";"Negative version code from scd_scb_version(). Software error.";"Check if software is installed correctly."
"'203E2";"E_SCD_LAS_PRESENT";"No laser power measuring hardware found. - SCB defective. ";"- Scan control board (SCB) not or badly inserted.";"Check / insert / replace SCB."
"'203E3";"E_SCD_LAS_ADC";"Reading the laser power from the A/D converter failed. - A/D converter value mismatch. - Wrong A/D converter number (software error). If this does not help, inform MED-CSO. ";"- A/D converter timeout.";"Check / replace SCB board."
"'203E4";"E_SCD_LAS_ADC_LOW";"The given A/D converter value is below zero. This should never occur. ";"Software error.";"Inform MED-CSO."
"'203E5";"E_SCD_LAS_ADC_HIGH";"The given A/D converter value is too high. Already a value with all converter bits = 1 is assumed as error. ";"Most probably defective hardware (SCB board).";"Check / replace SCB board."
"'203E6";"E_SCD_LAS_NOT_INIT";"The driver software for laser power control has not been initialized. ";"Software error.";"Software must call scd_las_init() first."
"'203E7";"E_SCD_LAS_LOW_TESTPOW";"The measured test voltage from the PIN diode board is too low. - PIN diode board defective. board. If ok, replace PIN diode board. ";"- PIN diode board disconnected or cable defective";"Check cable between scan control board (SCB) and PIN diode"
"'203E8";"E_SCD_LAS_HIGH_NORMPOW";"The measured voltage from the PIN diode board is too high. - PIN diode board defective. board. If ok, replace PIN diode board. ";"- PIN diode board disconnected or cable defective";"Check cable between scan control board (SCB) and PIN diode"
"'203E9";"E_SCD_LAS_NOT_PRESENT";"Laser diode control hardware not detected. - Bad cable or connector. ";"- Laser diode control board not connected.";"Check laser diode control board and cable."
"'203EA";"E_SCD_LAS_NOT_OK";"Laser diode control hardware detected an error. ";"Defect in laser diode control.";"Replace laser diode control board."
"'203EB";"E_SCD_LAS_SET_BOL_HOOK";"Setting the BOL interrupt hook function failed. ";"Operating system problem.";"Check if software is installed correctly."
"'20400";"E_SCD_PRESENT_TSTREG";"";"";""
"'20401";"E_SCD_PRESENT_TIM1";"";"";""
"'20402";"E_SCD_PRESENT_TIM2";"Timer 2 of DAQ board not present. The software automatically checks for old ADC70 hardware and then for COPRA hardware. If ADC70 is not found, COPRA is checked. ";"No ADC70-DAQ board inserted.";"Ignore this error, if no other errors present."
"'20403";"E_SCD_PRESENT_PIT";"";"";""
"'20404";"E_SCD_PRESENT_FIFO";"";"";""
"'20405";"E_SCD_PRESENT_HT_CTRL";"";"";""
"'20406";"E_SCD_PRESENT_SWP_OFF";"";"";""
